CellId,Count,Count_SC,Count_EC,freq(morning),freq(afternoon),freq(evening),freq(night),Cell_Center_Lat,Cell_Center_Lng
46b54cfd1,1,0,1,0.0,1.0,0.0,0.0,55.674245760445814,37.523133779458696
414ab3a3d,1,1,0,0.0,0.0,1.0,0.0,55.64139006416482,37.66910085166667
46b54d36b,1,1,0,1.0,0.0,0.0,0.0,55.64470293217071,37.54216290800649
46b54b801,1,0,1,0.0,1.0,0.0,0.0,55.71099511975292,37.56118426308966
46b54b72f,1,1,0,0.0,0.0,1.0,0.0,55.720196205701654,37.599038065309095
46b54d485,1,0,1,1.0,0.0,0.0,0.0,55.641050338061255,37.529688864584216
46b54b0d3,1,0,1,0.0,1.0,0.0,0.0,55.72223762218349,37.60241616668387
46b54b787,1,1,0,0.0,1.0,0.0,0.0,55.7163951254835,37.573341761373776
46b54cff7,1,1,0,1.0,0.0,0.0,0.0,55.67962272844999,37.5126374747557
46b54d241,1,0,1,0.0,1.0,0.0,0.0,55.657953071620845,37.54143745540842
46b54c607,1,1,0,1.0,0.0,0.0,0.0,55.69537860832154,37.53216794799098
46b54cf55,1,0,1,1.0,0.0,0.0,0.0,55.69290426555411,37.534543911129454
46b54b7b7,1,1,0,0.0,0.0,1.0,0.0,55.70998806649699,37.58215340535063
46b54d4c5,1,1,0,1.0,0.0,0.0,0.0,55.63406356869152,37.531067246368345
46b54cc25,1,1,0,0.0,1.0,0.0,0.0,55.67544633226887,37.56062689744311
414aa3a3b,1,0,1,0.0,0.0,1.0,0.0,-1.0,-1.0
46b54b7f3,1,0,1,1.0,0.0,0.0,0.0,55.712604304128654,37.570309627630024
46b54d515,1,1,0,0.0,0.0,1.0,0.0,55.629388915127,37.51691562765495
414aace87,1,0,1,0.0,0.0,1.0,0.0,-1.0,-1.0
46b54ce2f,1,1,0,0.0,1.0,0.0,0.0,55.6720676837679,37.529223213123494
46b54c961,1,1,0,0.0,0.0,1.0,0.0,55.687108416116246,37.573430079451924
46b54b785,1,1,0,0.0,1.0,0.0,0.0,55.71566766642636,37.575373234499736
