,CarBrand,CarModel
1037,Tata,TATA ACE 
1038,Tata,tata bolt
1039,Tata,Tata ex 
1040,Tata,Tata Indigo 
1041,Tata,tata indigo ecs lx
1042,Tata,Tata nano
1043,Tata,tata truck
1044,tata ,tata vista 
1045,Tata ,tata zest 2017
1046,Tata,Tiagi
1047,Tata,Tiago
1048,Tata,Tiago 2017
1049,Tata,tiago 2018
1050,Tata,Tiago Revotron XZ
1051,Tata,Tiago XT
1052,Tata,tiago xta
1053,Tata,Tiago XZ
1054,Tata,tigor
1055,Tata,Tigor xt
1056,Tata,tigor xz o
1057,Tata,tigor xzo 
1058,Tata,tigore
1059,Tata,Tttr
1060,Tata,Vgg
1061,Tata,vista
1062,Tata,vista tdi
1063,Tata,Vista Vx
1064,Tata,Xenon
1065,Tata,Zest
1066,TATA,ZEST REVETRON XT
1067,Tata,zest xe
1068,Tata,zest xm
1069,Tata,zest xt
1070,Tata 909,909ex2
1071,tata ace,2013
1072,tata ace ht,2016
1073,Tata indigo,2007
1074,tata indigo,2012
1075,Tata indigo ,2017
1076,Tata Sumo ,Gold 
1077,Tata Tigor,XZA Petrol
1078,Tata Vista ,2014
1079,Tavera,Chevrolet
1080,tayota,2014
1081,TestBrand,TestModel
1082,text,text
1083,Tharmarajan,Datsun Go
1084,TN22DL 1202,sift true's
1085,Totota,Camry
1086,Toyata,2012
1087,Toyota,
1088,Toyota,2001
1089,Toyota,2004
1090,Toyota,2005
1091,Toyota,2006
1092,Toyota,2009
1093,Toyota ,2011
1094,Toyota,2012
1095,Toyota,2013
1096,Toyota,2014
1097,Toyota,2015
1098,Toyota,2016
1099,Toyota,2017
1100,Toyota,camry
1101,Toyota,chazer
1102,Toyota,corola
1103,Toyota,corolla
1104,Toyota,corolla altis 
1105,Toyota,Corolla Sedan 2007
1106,Toyota,Cross
1107,Toyota,Crysta
1108,Toyota,Echo
1109,Toyota,edios
1110,Toyota,Etios
1111,Toyota,Etios 2016
1112,Toyota,Etios Cross
1113,Toyota,etios liva
1114,Toyota,etious 2015
1115,Toyota,Fortuner
1116,Toyota,Innova
1117,Toyota,Innova Crysta
1118,Toyota,Inova Crysta
1119,Toyota,platinum etios
1120,Toyota,platz
1121,Toyota,Prius
1122,Toyota,qu
1123,Toyota,qualis
1124,Toyota,toyota etios
1125,Toyota,Toyotq Etios Liva
1126,Toyota & Tata,Innova & Tiago
1127,Toyota etios ,2014
1128,Toyota etios,2015
1129,Toyota etios,2016
1130,toyota etios gd,2016
1131,Toyota innova,2013
1132,Toyota Innova,2015
1133,truck,tatta
1134,TVS,2014
1135,tvs,2016
1136,tvs,apache rtr 160
1137,TVS,Apache RTR 180
1138,Tvs,apache160
1139,Tvs ,Jupiter 
1140,Tvs,Jupyter
1141,TVS,ntorq 125
1142,Tvs,Rtr 180abs
1143,TVS,Wego
1144,tvs jupiter,sx
1145,u,2014
1146,up 32 gq 0825,2015
1147,varna,2012
1148,Vaz,2101
1149,Verna,Sx Optional
1150,victor,2003
1151,Virus,2017
1152,vitara brezza ,vdi optional
1153,Volkswagen,2016
1154,Volkswagen,2017
1155,Volkswagen,Ameo
1156,Volkswagen,Ameo Tdi
1157,Volkswagen,Ameo Trendline
1158,Volkswagen,jetta
1159,Volkswagen,passat
1160,Volkswagen,passat 2.0 tdi at
1161,Volkswagen,polo
1162,Volkswagen,polo 1.2
1163,Volkswagen ,Polo Comfortline
1164,Volkswagen,polo GT
1165,Volkswagen,polo GT TSi
1166,volkswagen,polo gti
1167,Volkswagen,sagitar
1168,Volkswagen,Vento
1169,Volkswagen,Vento 1.2 TSI
1170,Volkswagen,vento tdi
1171,Volvo,9400
1172,Volvo,XC60
1173,Volvo,XC90
1174,wagan r,2005
1175,wagenor,2006 
1176,wagnor,2010
1177,Wagon R,2012
1178,wagon r,2015
1179,wagon r,2016
1180,Wagon R,Lxi
1181,wagonR,2006
1182,wagonr,2014
1183,wagonr,2015
1184,wagonr,2018
1185,Willyz,Jeep
1186,wolkswagon,jetta
1187,xylo,2011
1188,xylo,2017
1189,xylo,d2
1190,yahama,fzs
1191,yahama ,Sz rr
1192,yallow,2015
1193,yamaha,alpha
1194,yamaha,fazer
1195,Yamaha,FZ
1196,Yamaha,Fz 16
1197,Yamaha,FZ25
1198,Yamaha,Fzs
1199,yamaha,fzs v 2.0
1200,Yamaha,Gs
1201,Yamaha,R~15
1202,yamaha,R15
1203,Yamaha ,R15 v3
1204,Yamaha,R15s
1205,Yamaha,Rd350 
1206,Yamaha,RX 135
1207,Yamaha ,sz
1208,yamha,2014
1209,Zen,2008
1210,Zest,XTA
1211,вл,вп
1212,Оатп,Лалаоала
1213,स्विफ्ट,2013
