std_accX_end,mean_accX_end,median_accX_end,max_angleX_diff
3.54693228,8.273987036,9.526819229,18.12213876
0.21822642,0.081950165,0.010253906,82.62143262
3.112314058,4.393298679,6.315093994,1.284860757
0,6.700332642,6.700332642,0
0.171226599,8.204620361,8.145599365,0
0,-1.015731812,-1.015731812,0
1.687834156,-0.109276319,-0.541687012,43.22838254
0.901037248,7.087927341,7.304122925,36.96261369
0,-0.537261963,-0.537261963,0
0,0.634482801,0.634482801,0
0,-0.799687803,-0.799687803,0
0.211120396,-0.03717325,-0.0548172,88.92401012
0.457486978,0.087768322,0.032623291,84.254373
0.223014733,0.042873696,0.01625061,89.71593022
1.647056178,0.770601078,0.559150696,86.80822135
0.536221463,-6.844883845,-6.644439697,1.995363977
0.260642675,-0.020981252,-0.104614258,88.44995711
0.268567347,0.090987562,0.104980469,89.83228355
2.756383398,0.632330135,1.469619751,84.86213425
4.166431297,4.060614037,2.211395264,48.04205242
0.257208315,0.027676118,0.023849487,89.46968785
0,9.729999542,9.729999542,0
4.915792209,3.47455554,5.132999897,75.76258363
0.432827046,-0.925208331,-0.68900001,10.89850656
0,0.075999998,0.075999998,0
0,8.178842545,8.178842545,0
2.722953039,0.445719778,1.062889099,89.35067492
0,2.662433624,2.662433624,0
0.407815152,-0.11389764,0.010513306,85.51535028
0.06104615,0.085189819,0.115661621,5.594762467
0.36004601,-0.834066593,-0.933067322,58.71353206
0.080636263,-0.633676508,-0.642150879,0.061559045
0.189558038,0.056093968,0.085632324,83.94056286
2.426550797,0.307641562,-0.150314331,89.76991519
2.082626198,-1.522625005,-1.416999996,85.8345224
0.386134359,-0.609421459,-0.712059021,65.66951024
0,-0.536000013,-0.536000013,0
0.610392191,-0.026584387,0.017242432,75.64320772
1.548095527,-0.449148515,0.075999998,87.33018249
0,-0.305999994,-0.305999994,0
0,-1.061981201,-1.061981201,0
0.185362167,-0.002154382,0.002700806,89.6313503
0.186548929,-0.005015103,0.014511108,89.66476176
0.211087191,-0.170641282,-0.154426008,42.15791963
0.301033236,-0.07419154,-0.129722595,81.8925436
0.318500469,-0.006174402,0.03692627,84.63787581
0.257991532,0.17755002,0.17199707,87.91098121
0,-3.763799906,-3.763799906,0
0.446020483,0.265818918,0.322029963,9.097853086
0.424909426,0.28648419,0.311255723,58.2471073
0.333443877,0.146803296,0.150344849,89.89805488
1.251205291,1.209969716,0.525527269,28.75692243
0.12962666,0.016324997,-0.046737671,24.27203561
0.402977092,0.129568071,0.176269531,87.59319488
0.25952621,-0.081905675,0.009658813,88.26238539
0.398448468,-0.0453527,0.109436035,79.96382644
0.051975263,-0.181247778,-0.183555603,85.53170898
0.034972096,-0.002909932,-0.00226593,49.02276269
0.028297424,0.775169373,0.775169373,0.215183935
0.128520519,0.160900656,0.158096313,52.15975343
0.370322097,0.381391668,0.357879639,70.89205776
0.480128016,0.212768674,0.115242004,67.05188907
0.201077883,0.05525587,0.010101318,82.51567107
0.391171625,-0.118789621,0.036529541,89.23528222
0.276171037,0.200619639,0.032608032,55.2178814
0.134732607,0.000577778,-0.002128601,79.78591986
0.208310528,1.431676229,1.39276123,3.906249543
0,0.689530075,0.689530075,0
0,0.926193237,0.926193237,0
0.226938821,-0.811232074,-0.817726135,12.00204045
0.196264229,0.031861244,0.032287598,86.52847012
1.204114448,-0.544740745,-0.442628041,47.0939091
0.504677028,0.369227971,0.537513733,87.09395188
0.210056867,0.124484,0.11289978,86.42222984
0.413499893,0.385213173,0.32396698,84.51821007
3.119981073,0.265897507,0.076616794,32.98842769
0,-1.302000046,-1.302000046,0
0.156260498,0.051526935,0.059745789,71.43868218
2.095345513,1.049552634,0.421000004,39.81031663
0.447750572,0.210255165,0.141441345,89.865126
0,-10.89799976,-10.89799976,0
0.227900666,-0.01045364,0.056808472,51.96792276
2.361756822,1.6320755,0.824432373,18.21782747
0,-0.00478855,-0.00478855,0
0,-2.181184292,-2.181184292,0
0.212971404,0.139783165,0.090377808,86.30794343
6.153513398,4.513870722,3.875133753,81.99949104
0.413020244,-0.708086108,-0.847640991,87.28338996
1.140146634,-0.110527039,-0.109527588,16.03555949
