IncomingTrackId,std_accX_end,mean_accX_end,median_accX_end,max_angleX_diff
4205123,1.182735682,3.131615877,3.131615877,0
4205128,0.093108719,-0.153368457,-0.168907166,35.3580455
4205130,0.577057546,-0.434122862,-0.656036377,77.39275394
4205134,0.114590092,0.097265114,0.109146118,24.0240007
4205135,2.007291106,0.567874706,0.735019922,81.5686567
4205136,0.328513697,0.495956491,0.577674866,84.20521853
4205137,0,-0.14724341,-0.14724341,0
4205139,1.908129374,-0.473205711,-0.681748927,66.97702729
4205143,0,1.584961534,1.584961534,0
4205150,0.121769232,0.259948077,0.276802063,61.0389005
4205152,0.232231814,0.025093721,0.025543213,46.06849208
4205158,2.649816155,-0.252019598,-0.009577099,69.8402954
4205160,0.42210004,0.22144928,0.108016968,55.45397938
4205162,0.220935408,-0.129946727,-0.172966003,89.94407619
4205163,0.471042352,0.170247961,0.02507019,82.52468111
4205169,1.119609304,0.546742624,0.478854954,65.64473883
4205170,0.469369696,0.775999695,0.966468811,89.69977353
4205171,0.237861665,0.185092665,0.21987915,44.70547132
4205182,2.014919833,-0.919534969,-0.919972003,88.04807342
4205186,0.434929368,-0.304046048,-0.311286926,83.13354515
4205200,0.303012308,-0.078859783,0.010261536,27.24022262
4205204,0.013161033,-0.120365912,-0.122528076,4.703653518
4205211,0.233683434,-0.075752258,-0.041694641,88.91848377
4205219,0,-2.145204782,-2.145204782,0
4205220,0.213209921,0.590483698,0.670928955,74.46244189
4205221,0,-0.14844051,-0.14844051,0
4205224,1.292271064,-1.011545447,-1.399999976,36.77582603
4205225,0.089275946,0.029578962,0.015090942,69.40073491
4205227,0.446658943,-0.374205064,-0.409179688,80.29055143
4205232,0.246884632,0.127405419,0.048454285,62.56992775
4205240,0,-0.301559448,-0.301559448,0
4205241,0.034526698,0.024414063,0,0
4205242,0,0.311462402,0.311462402,0
4205247,0.169455899,-0.003193972,-0.021789551,84.85444814
4205256,0,-0.27633667,-0.27633667,0
4205263,0.217824048,-0.109424109,-0.11328125,64.81115204
4205270,0.453632763,0.023125775,0.021514893,81.48754544
4205275,0.953101977,-0.121458787,-0.227279663,89.59218209
4205277,0.202614621,-0.446008043,-0.456542969,75.95204968
4205289,0.1209228,-0.130881173,-0.13192749,86.63144517
4205290,1.482823875,-0.652224076,-0.228646263,24.3486048
4205293,0.560768671,-0.2584827,-0.43711853,89.89110293
