Latitude,Longitude,Date
55.71371512,37.57229388,2018-08-23 13:42:23.460756
55.71371512,37.57229388,2018-08-23 13:42:28.632912
55.71274857,37.56977558,2018-08-23 13:42:32.742430
55.71695441,37.56979095,2018-08-23 13:43:10.582165
55.71558029,37.5742482,2018-08-23 13:43:42.363336
55.71326401,37.5780255,2018-08-23 13:44:05.567790
55.71016042,37.58181402,2018-08-23 13:44:38.051875
55.70823116,37.5778309,2018-08-23 13:45:17.569993
55.70639834,37.58076438,2018-08-23 13:46:44.344723
55.70325151,37.5795731,2018-08-23 13:48:41.748436
55.70021846,37.57848304,2018-08-23 13:50:06.033609
55.69726943,37.57743879,2018-08-23 13:50:36.942330
55.6942088,37.57634922,2018-08-23 13:50:57.825779
55.69115953,37.5752768,2018-08-23 13:51:27.862630
55.68741893,37.57285997,2018-08-23 13:52:40.327276
55.68473756,37.56999576,2018-08-23 13:53:37.696361
55.68122066,37.56619084,2018-08-23 13:54:40.761626
55.67859024,37.5633287,2018-08-23 13:56:01.938448
55.67578322,37.56052944,2018-08-23 13:56:38.267709
55.67317894,37.55758046,2018-08-23 13:57:18.114425
55.67017954,37.5544438,2018-08-23 13:59:04.771068
55.66756393,37.55161938,2018-08-23 14:00:33.463365
55.66283771,37.54663744,2018-08-23 14:00:58.873335
55.66032562,37.54382324,2018-08-23 14:01:20.859759
55.65741117,37.54068827,2018-08-23 14:01:58.585319
55.65498286,37.53810851,2018-08-23 14:02:33.248250
55.65193347,37.53480878,2018-08-23 14:03:13.633171
55.6490981,37.53181027,2018-08-23 14:04:48.491975
55.64655728,37.52915229,2018-08-23 14:05:40.572509
55.64349672,37.52676951,2018-08-23 14:06:08.491304
55.64139836,37.53051841,2018-08-23 14:08:08.665533
55.63992386,37.5360242,2018-08-23 14:08:32.639746
55.63898225,37.53827488,2018-08-23 14:12:24.958503
55.63935224,37.53769001,2018-08-23 14:15:16.703327
55.63935224,37.53769001,2018-08-24 08:22:57.274225
55.63935224,37.53769001,2018-08-24 08:23:01.243151
55.64252347,37.52632709,2018-08-24 08:26:21.239762
55.64449343,37.52167687,2018-08-24 08:26:48.125263
55.64691096,37.5161284,2018-08-24 08:27:59.471204
55.64896314,37.51130923,2018-08-24 08:30:21.452367
55.65149284,37.50525942,2018-08-24 08:31:14.626785
55.65374858,37.5000473,2018-08-24 08:31:45.182309
55.65680653,37.49831227,2018-08-24 08:32:43.790849
55.65946441,37.50330007,2018-08-24 08:33:10.938096
55.66289481,37.50844543,2018-08-24 08:34:08.718905
55.66519707,37.51189438,2018-08-24 08:34:37.844392
55.66849666,37.51680059,2018-08-24 08:35:10.159569
55.67188397,37.5217837,2018-08-24 08:35:51.898495
55.67455313,37.52572368,2018-08-24 08:36:17.937173
55.67705326,37.52942113,2018-08-24 08:36:42.535314
