0|iata_code|1|icao_code|2|name_eng|3|city_eng|4|country_eng|5|latitude|6|longitude
FUB|FUB|||Fulleborn|Fulleborn|Fulleborn|Fulleborn|Papua New Guinea|Papua New Guinea|-6.150|-6.150|150.617|150.617
FUD|FUD|OOFD|OOFD|Sui Fen He|Sui Fen He|Sui Fen He|Sui Fen He|China|China|0|0|0|0
FUE|FUE|GCFV|GCFV|Fuerteventura|Fuerteventura|Puerto del Rosario|Puerto del Rosario|Spain|Spain|28.452717|28.452717|-13.863761|-13.863761
FUG|FUG|ZSFY|ZSFY|Fuyang|Fuyang|Fuyang|Fuyang|China|China|32.881667|32.881667|115.733889|115.733889
FUJ|FUJ|RJFE|RJFE|Fukue|Fukue|Fukue|Fukue|Japan|Japan|32.666269|32.666269|128.832808|128.832808
FUK|FUK|RJFF|RJFF|Fukuoka|Fukuoka|Fukuoka|Fukuoka|Japan|Japan|33.585942|33.585942|130.450685|130.450685
FUL|FUL|KFUL|KFUL|Municipal|Municipal|Fullerton|Fullerton|United States|United States|33.872014|33.872014|-117.979784|-117.979784
FUM|FUM|||Fuma|Fuma|Fuma|Fuma|Papua New Guinea|Papua New Guinea|-6.383|-6.383|142.433|142.433
FUN|FUN|NGFU|NGFU|International|International|Funafuti Atol|Funafuti Atol|Tuvalu|Tuvalu|-8.525000|-8.525000|179.196389|179.196389
FUO|FUO|ZGFS|ZGFS|Fuoshan|Fuoshan|Fuoshan|Fuoshan|China|China|23.083333|23.083333|113.070833|113.070833
FUT|FUT|NLWF|NLWF|Futuna Island|Futuna Island|Futuna Island|Futuna Island|Vanuatu|Vanuatu|-14.311389|-14.311389|-178.066111|-178.066111
FVL|FVL|LFOE|LFOE|Flora Valey|Flora Valey|Flora Valley|Flora Valley|Australia|Australia|-18.333333333333|-18.333333333333|128|128
FVR|FVR|LIRV|LIRV|Forrest River Airport|Forrest River Airport|Forrest River|Forrest River|Australia|Australia|-15.3|-15.3|128.06666666667|128.06666666667
FWA|FWA|KFWA|KFWA|Municipal/Baer Field|Municipal/Baer Field|Fort Wayne|Fort Wayne|United States|United States|40.978472|40.978472|-85.195167|-85.195167
FWH|FWH|KNFW|KNFW|Fort Worth NAS Jrb/Carswell Field|Fort Worth NAS Jrb/Carswell Field|Fort Worth, TX|Fort Worth, TX|United States|United States|32.769185|32.769185|-97.441533|-97.441533
FWL|FWL|PAFW|PAFW|Farewell|Farewell|Farewell|Farewell|United States|United States|62.506612|62.506612|-153.893619|-153.893619
FWM|FWM|||Heliport|Heliport|Fort William|Fort William|United Kingdom|United Kingdom|56.817|56.817|-5.117|-5.117
FXE|FXE|KFXE|KFXE|Executive|Executive|Fort Lauderdale|Fort Lauderdale|United States|United States|26.197279|26.197279|-80.170706|-80.170706
FXM|FXM|ZSAM|ZSAM|Flaxman Island|Flaxman Island|Flaxman Island|Flaxman Island|United States|United States|70.216666666667|70.216666666667|-146|-146
FXO|FXO|FQCB|FQCB|Cuamba|Cuamba|Cuamba|Cuamba|Mozambique|Mozambique|-14.817499|-14.817499|36.528333|36.528333
FXY|FXY|KFXY|KFXY|Municipal|Municipal|Forest City|Forest City|United States|United States|43.234757|43.234757|-93.624104|-93.624104
FYM|FYM|KFYM|KFYM|Municipal|Municipal|Fayetteville|Fayetteville|United States|United States|35.059694|35.059694|-86.564000|-86.564000
FYN|FYN|ZWFY|ZWFY|Fuyun|Fuyun|Fuyun|Fuyun|China|China|47.000|47.000|89.500|89.500
FYT|FYT|FTTY|FTTY|Faya|Faya|Faya|Faya|Chad|Chad|17.917053|17.917053|19.111078|19.111078
FYU|FYU|PFYU|PFYU|Fort Yukon|Fort Yukon|Fort Yukon|Fort Yukon|United States|United States|66.571490|66.571490|-145.250417|-145.250417
FYV|FYV|KFYV|KFYV|Municipal (Drake Fld)|Municipal (Drake Fld)|Fayetteville|Fayetteville|United States|United States|36.005095|36.005095|-94.170057|-94.170057
FZO|FZO|EGTG|EGTG|Filton|Filton|Bristol|Bristol|United Kingdom|United Kingdom|51.519444|51.519444|-2.590833|-2.590833
GAA|GAA|SKGY|SKGY|Guamal|Guamal|Guamal|Guamal|Colombia|Colombia|9.167|9.167|-74.200|-74.200
GAB|GAB|KGAB|KGAB|Gabbs|Gabbs|Gabbs|Gabbs|United States|United States|38.924091|38.924091|-117.959007|-117.959007
GAC|GAC|||Gracias|Gracias|Gracias|Gracias|Honduras|Honduras|14.583|14.583|-88.583|-88.583
GAD|GAD|KGAD|KGAD|Municipal|Municipal|Gadsden|Gadsden|United States|United States|33.972649|33.972649|-86.089083|-86.089083
GAE|GAE|DTTG|DTTG|Gabes|Gabes|Gabes|Gabes|Tunisia|Tunisia|33.876919|33.876919|10.103333|10.103333
GAF|GAF|DTTF|DTTF|Gafsa|Gafsa|Gafsa|Gafsa|Tunisia|Tunisia|34.422022|34.422022|8.822503|8.822503
GAG|GAG|KGAG|KGAG|Gage|Gage|Gage|Gage|United States|United States|36.295539|36.295539|-99.776424|-99.776424
GAH|GAH|YGAY|YGAY|Gayndah|Gayndah|Gayndah|Gayndah|Australia|Australia|-25.614444|-25.614444|151.619444|151.619444
GAI|GAI|KGAI|KGAI|Montgomery County|Montgomery County|Gaithersburg|Gaithersburg|United States|United States|39.168333|39.168333|-77.166000|-77.166000
GAJ|GAJ|RJSC|RJSC|Junmachi|Junmachi|Yamagata|Yamagata|Japan|Japan|38.411894|38.411894|140.371331|140.371331
GAK|GAK|KGAG|KGAG|Gakona|Gakona|Gakona|Gakona|United States|United States|62.3|62.3|-145.3|-145.3
GAL|GAL|PAGA|PAGA|Galena|Galena|Galena|Galena|United States|United States|64.736166|64.736166|-156.937389|-156.937389
GAM|GAM|PAGM|PAGM|Gambell|Gambell|Gambell|Gambell|United States|United States|63.766766|63.766766|-171.732824|-171.732824
GAN|GAN|VRMG|VRMG|Gan Airport|Gan Airport|Gan Island|Gan Island|Maldives|Maldives|-0.693342|-0.693342|73.155644|73.155644
GAO|GAO|MUGT|MUGT|Los Canos|Los Canos|Guantanamo|Guantanamo|Cuba|Cuba|20.085419|20.085419|-75.158328|-75.158328
GAP|GAP|||Gusap|Gusap|Gusap|Gusap|Papua New Guinea|Papua New Guinea|-6.050|-6.050|145.950|145.950
GAQ|GAQ|GAGO|GAGO|Gao|Gao|Gao|Gao|Mali|Mali|16.248432|16.248432|-0.005456|-0.005456
GAR|GAR|||Garaina|Garaina|Garaina|Garaina|Papua New Guinea|Papua New Guinea|-7.867|-7.867|147.133|147.133
GAS|GAS|HKGA|HKGA|Garissa|Garissa|Garissa|Garissa|Kenya|Kenya|-0.463508|-0.463508|39.648297|39.648297
GAT|GAT|LFNA|LFNA|Tallard|Tallard|Gap|Gap|France|France|44.455000|44.455000|6.037778|6.037778
GAU|GAU|VEGT|VEGT|Borjhar|Borjhar|Gawahati|Gawahati|India|India|26.106092|26.106092|91.585939|91.585939
GAV|GAV|||Gag Island|Gag Island|Gag Island|Gag Island|Indonesia|Indonesia|-0.400556|-0.400556|129.895277|129.895277
GAW|GAW|VYGG|VYGG|Gangaw|Gangaw|Gangaw|Gangaw|Myanmar|Myanmar|22.174722|22.174722|94.134444|94.134444
GAX|GAX|||Gamba|Gamba|Gamba|Gamba|Gabon|Gabon|-2.767|-2.767|9.983|9.983
GAY|GAY|VEGY|VEGY|Gaya|Gaya|Gaya|Gaya|India|India|24.744308|24.744308|84.951175|84.951175
GAZ|GAZ|KGAZ|KGAZ|Guasopa|Guasopa|Guasopa|Guasopa|Papua New Guinea|Papua New Guinea|-9.225556|-9.225556|152.944167|152.944167
GBA|GBA|||Big Bay|Big Bay|Big Bay|Big Bay|Vanuatu|Vanuatu|-15.183|-15.183|166.900|166.900
GBB|GBB|||Gara Djebilet|Gara Djebilet|Gara Djebilet|Gara Djebilet|Mauritania|Mauritania|26.150|26.150|-7.350|-7.350
GBC|GBC|||Gasuke|Gasuke|Gasuke|Gasuke|Papua New Guinea|Papua New Guinea|-6.117|-6.117|141.750|141.750
GBD|GBD|KGBD|KGBD|Great Bend|Great Bend|Great Bend|Great Bend|United States|United States|38.344250|38.344250|-98.859194|-98.859194
GBE|GBE|FBSK|FBSK|Sir Seretse Khama International|Sir Seretse Khama International|Gaborone|Gaborone|Botswana|Botswana|-24.555225|-24.555225|25.918208|25.918208
GBF|GBF|||Negarbo|Negarbo|Negarbo|Negarbo|Papua New Guinea|Papua New Guinea|-6.583|-6.583|144.667|144.667
GBG|GBG|KGBG|KGBG|Galesburg|Galesburg|Galesburg|Galesburg|United States|United States|40.938000|40.938000|-90.431139|-90.431139
GBH|GBH|PAGB|PAGB|Galbraith Lake|Galbraith Lake|Galbraith Lake|Galbraith Lake|United States|United States|68.479667|68.479667|-149.489917|-149.489917
GBI|GBI|MYGM|MYGM|Auxiliary Airfield|Auxiliary Airfield|Grand Bahama|Grand Bahama|Bahamas|Bahamas|26.631944444444|26.631944444444|-78.359166666667|-78.359166666667
GBJ|GBJ|TFFM|TFFM|Les Bases|Les Bases|Marie Galante|Marie Galante|Guadeloupe|Guadeloupe|15.868611|15.868611|-61.272222|-61.272222
GBK|GBK|GFGK|GFGK|Gbangbatok|Gbangbatok|Gbangbatok|Gbangbatok|Sierra Leone|Sierra Leone|7.812500|7.812500|-12.377778|-12.377778
GBL|GBL|YGBI|YGBI|Goulburn Island|Goulburn Island|Goulburn Island|Goulburn Island|Australia|Australia|-11.650556|-11.650556|133.375000|133.375000
GBM|GBM|||Garbaharey|Garbaharey|Garbaharey|Garbaharey|Ethiopia|Ethiopia|3.322778|3.322778|42.213056|42.213056
GBN|GBN|KGBN|KGBN|San Giovanni Rotondo|San Giovanni Rotondo|San Giovanni Rotondo|San Giovanni Rotondo|Italy|Italy|32.887546|32.887546|-112.719885|-112.719885
GBO|GBO|KGBO|KGBO|Baltimore Greenbelt T|Baltimore Greenbelt T|Baltimore|Baltimore|United States|United States|39.183|39.183|-76.683|-76.683
GBP|GBP|YGAM|YGAM|Gamboola|Gamboola|Gamboola|Gamboola|Australia|Australia|-16.543|-16.543|143.670|143.670
GBQ|GBQ|||Muharraq|Muharraq|Muharraq|Muharraq|Bahrain|Bahrain|26.257222222222|26.257222222222|50.611944444444|50.611944444444
GBR|GBR|KGBR|KGBR|Walter J. Koladza Airport|Walter J. Koladza Airport|Great Barrington|Great Barrington|United States|United States|42.184214|42.184214|-73.403241|-73.403241
GBS|GBS|||Port Fitzroy|Port Fitzroy|Port Fitzroy|Port Fitzroy|New Zealand|New Zealand|-36.183333333333|-36.183333333333|175.33333333333|175.33333333333
GBT|GBT|OING|OING|Gorgan|Gorgan|Gorgan|Gorgan|Iran|Iran|36.909381|36.909381|54.401339|54.401339
GBU|GBU|HSKG|HSKG|Khashm El Girba|Khashm El Girba|Khashm El Girba|Khashm El Girba|Sudan|Sudan|14.925|14.925|35.878|35.878
GBV|GBV|YGIB|YGIB|Gibb River|Gibb River|Gibb River|Gibb River|Australia|Australia|-16.418889|-16.418889|126.446111|126.446111
GBZ|GBZ|NZGB|NZGB|Great Barrier Island|Great Barrier Island|Great Barrier Island|Great Barrier Island|New Zealand|New Zealand|-36.241389|-36.241389|175.471944|175.471944
GCA|GCA|||Guacamaya|Guacamaya|Guacamaya|Guacamaya|Colombia|Colombia|2.283|2.283|-74.950|-74.950
GCC|GCC|KGCC|KGCC|Campbell County|Campbell County|Gillette|Gillette|United States|United States|44.348917|44.348917|-105.539361|-105.539361
GCH|GCH|OIAH|OIAH|Gachsaran|Gachsaran|Gachsaran|Gachsaran|Iran|Iran|30.337567|30.337567|50.827964|50.827964
GCI|GCI|EGJB|EGJB|Guernsey|Guernsey|Guernsey|Guernsey|Guernsey|Guernsey|49.434956|49.434956|-2.601969|-2.601969
GCJ|GCJ|FAGC|FAGC|Grand Central|Grand Central|Johannesburg|Johannesburg|South Africa|South Africa|-25.986267|-25.986267|28.140061|28.140061
GCK|GCK|KGCK|KGCK|Garden City Municipal Airport|Garden City Municipal Airport|Garden City, KS|Garden City, KS|United States|United States|37.927528|37.927528|-100.724417|-100.724417
GCM|GCM|MWCR|MWCR|Owen Roberts International|Owen Roberts International|Georgetown|Georgetown|Cayman Islands|Cayman Islands|19.292778|19.292778|-81.357750|-81.357750
GCN|GCN|KGCN|KGCN|National Park|National Park|Grand Canyon|Grand Canyon|United States|United States|35.952361|35.952361|-112.146972|-112.146972
GCV|GCV|LIPE|LIPE|Gravatai|Gravatai|Gravatai|Gravatai|Brazil|Brazil|-29.95|-29.95|-50.983333333333|-50.983333333333
GCY|GCY|KGCY|KGCY|Municipal|Municipal|Greenville|Greenville|United States|United States|36.192991|36.192991|-82.815070|-82.815070
GDA|GDA|||Gounda|Gounda|Gounda|Gounda|Central African Republic|Central African Republic|9.317|9.317|21.183|21.183
GDC|GDC|KGYH|KGYH|Donaldson Center|Donaldson Center|Greenville|Greenville|United States|United States|34.758319|34.758319|-82.376415|-82.376415
GDD|GDD|YGDN|YGDN|Gordon Downs|Gordon Downs|Gordon Downs|Gordon Downs|Australia|Australia|-18.678056|-18.678056|128.591667|128.591667
GDE|GDE|HAGO|HAGO|Gode/Iddidole|Gode/Iddidole|Gode/Iddidole|Gode/Iddidole|Ethiopia|Ethiopia|5.935128|5.935128|43.578567|43.578567
GDG|GDG|UHBI|UHBI|Magdagachi|Magdagachi|Magdagachi|Magdagachi|Russian Federation|Russian Federation|53.473333|53.473333|125.795000|125.795000
GDH|GDH|KGDH|KGDH|Golden Horn Lodge SPB|Golden Horn Lodge SPB|Golden Horn Lodge, Alaska|Golden Horn Lodge, Alaska|United States|United States|59.747039|59.747039|-158.874728|-158.874728
GDI|GDI|FEGL|FEGL|Gordil|Gordil|Gordil|Gordil|Central African Republic|Central African Republic|9.733|9.733|21.583|21.583
GDJ|GDJ|FZWC|FZWC|Gandajika|Gandajika|Gandajika|Gandajika|Democratic Republic Of Congo|Democratic Republic Of Congo|-6.733|-6.733|23.950|23.950
GDL|GDL|MMGL|MMGL|Miguel Hidalgo International Airport|Miguel Hidalgo International Airport|Guadalajara|Guadalajara|Mexico|Mexico|20.521800|20.521800|-103.311167|-103.311167
GDM|GDM|KGDM|KGDM|Municipal|Municipal|Gardner|Gardner|United States|United States|42.549866|42.549866|-72.016022|-72.016022
GDN|GDN|EPGD|EPGD|Lech Walesa|Lech Walesa|Gdansk|Gdansk|Poland|Poland|54.377569|54.377569|18.466222|18.466222
GDO|GDO|SVGD|SVGD|Vare Maria|Vare Maria|Guasdualito|Guasdualito|Venezuela|Venezuela|7.211081|7.211081|-70.756450|-70.756450
GDP|GDP|SNGD|SNGD|Guadalupe|Guadalupe|Guadalupe|Guadalupe|Brazil|Brazil|-6.782221|-6.782221|-43.582222|-43.582222
GDQ|GDQ|HAGN|HAGN|Gondar|Gondar|Gondar|Gondar|Ethiopia|Ethiopia|12.519900|12.519900|37.434047|37.434047
GDT|GDT|MBGT|MBGT|Grand Turk Is|Grand Turk Is|Grand Turk Is|Grand Turk Is|Turks and Caicos Islands|Turks and Caicos Islands|21.444544|21.444544|-71.142344|-71.142344
GDV|GDV|KGDV|KGDV|Dawson Community|Dawson Community|Glendive|Glendive|United States|United States|47.138719|47.138719|-104.807198|-104.807198
GDW|GDW|KGDW|KGDW|Gladwin|Gladwin|Gladwin|Gladwin|United States|United States|43.970583|43.970583|-84.474972|-84.474972
GDX|GDX|UHMM|UHMM|Sokol|Sokol|Magadan|Magadan|Russian Federation|Russian Federation|59.910989|59.910989|150.720439|150.720439
GDZ|GDZ|URKG|URKG|Gelendzik|Gelendzik|Gelendzik|Gelendzik|Russian Federation|Russian Federation|44.570278|44.570278|38.012222|38.012222
GEA|GEA|NWWM|NWWM|Magenta|Magenta|Noumea|Noumea|New Caledonia|New Caledonia|-22.258333|-22.258333|166.472778|166.472778
GEB|GEB|WAMJ|WAMJ|Gebe|Gebe|Gebe|Gebe|Indonesia|Indonesia|-0.078889|-0.078889|129.457777|129.457777
GEC|GEC|||Gecitkale|Gecitkale|Gecitkale|Gecitkale|Cyprus|Cyprus|35.235833|35.235833|33.719722|33.719722
GED|GED|KGED|KGED|Sussex County|Sussex County|Georgetown|Georgetown|United States|United States|38.687884|38.687884|-75.358348|-75.358348
GEE|GEE|YGTO|YGTO|George Town|George Town|George Town|George Town|Australia|Australia|-41.079167|-41.079167|146.838889|146.838889
GEF|GEF|AGEV|AGEV|Geva Airstrip|Geva Airstrip|Geva|Geva|Central African Republic|Central African Republic|-7.575833|-7.575833|156.596944|156.596944
GEG|GEG|KGEG|KGEG|Spokane International|Spokane International|Spokane|Spokane|United States|United States|47.619028|47.619028|-117.535222|-117.535222
GEI|GEI|||Green Islands|Green Islands|Green Islands|Green Islands|Papua New Guinea|Papua New Guinea|-4.499167|-4.499167|154.225556|154.225556
GEK|GEK|LIMW|LIMW|Ganes Creek|Ganes Creek|Ganes Creek|Ganes Creek|United States|United States|62.983333333333|62.983333333333|-156.5|-156.5
GEL|GEL|SBNM|SBNM|Sepe Tiaraju|Sepe Tiaraju|Santo Angelo|Santo Angelo|Brazil|Brazil|-28.281683|-28.281683|-54.169139|-54.169139
GEN|GEN|KBOS|KBOS|Oslo - Gardermoen Airport|Oslo - Gardermoen Airport|Oslo|Oslo|Norway|Norway|60.2|60.2|11.083333333333|11.083333333333
GER|GER|MUNG|MUNG|Rafael Cabrera|Rafael Cabrera|Nueva Gerona|Nueva Gerona|Cuba|Cuba|21.834689|21.834689|-82.783819|-82.783819
GES|GES|RPMB|RPMB|General Santos International|General Santos International|General Santos|General Santos|Philippines|Philippines|6.106439|6.106439|125.235300|125.235300
GET|GET|YGEL|YGEL|Geraldton|Geraldton|Geraldton|Geraldton|Australia|Australia|-28.796111|-28.796111|114.707500|114.707500
GEV|GEV|ESNG|ESNG|Gallivare|Gallivare|Gallivare|Gallivare|Sweden|Sweden|67.132408|67.132408|20.814636|20.814636
GEW|GEW|||Gewoia|Gewoia|Gewoia|Gewoia|Papua New Guinea|Papua New Guinea|-9.183|-9.183|148.483|148.483
GEX|GEX|YGLG|YGLG|Geelong|Geelong|Geelong|Geelong|Australia|Australia|-38.225278|-38.225278|144.333056|144.333056
GEY|GEY|KGEY|KGEY|South Big Horn County|South Big Horn County|Greybull|Greybull|United States|United States|44.516818|44.516818|-108.082825|-108.082825
GFA|GFA|KGFA|KGFA|Malmstrom AFB|Malmstrom AFB|Great Falls|Great Falls|United States|United States|47.504667|47.504667|-111.187333|-111.187333
GFB|GFB|YPGV|YPGV|Togiak Fish|Togiak Fish|Togiak Fish|Togiak Fish|United States|United States|-0.33333333333333|-0.33333333333333|122|122
GFD|GFD|KGFD|KGFD|Pope Field|Pope Field|Greenfield|Greenfield|Guyana|Guyana|39.790321|39.790321|-85.736089|-85.736089
GFE|GFE|||Grenfell|Grenfell|Grenfell|Grenfell|Australia|Australia|-33.896944|-33.896944|148.155278|148.155278
GFF|GFF|YGTH|YGTH|Griffith|Griffith|Griffith|Griffith|Australia|Australia|-34.250833|-34.250833|146.067222|146.067222
GFK|GFK|KGFK|KGFK|Grand Forks|Grand Forks|Grand Forks|Grand Forks|United States|United States|47.947267|47.947267|-97.173781|-97.173781
GFL|GFL|KGFL|KGFL|Warren County|Warren County|Glens Falls|Glens Falls|United States|United States|43.341222|43.341222|-73.610306|-73.610306
GFN|GFN|YGFN|YGFN|Grafton|Grafton|Grafton|Grafton|Australia|Australia|-29.759444|-29.759444|153.030000|153.030000
GFO|GFO|SYBT|SYBT|Bartica|Bartica|Bartica|Bartica|Guyana|Guyana|6.417|6.417|-58.583|-58.583
GFR|GFR|LFRF|LFRF|Granville|Granville|Granville|Granville|France|France|48.882875|48.882875|-1.563831|-1.563831
GFY|GFY|FYGF|FYGF|Grootfontein|Grootfontein|Grootfontein|Grootfontein|Namibia|Namibia|-19.602167|-19.602167|18.122667|18.122667
GGC|GGC|FNBL|FNBL|Lumbala|Lumbala|Lumbala|Lumbala|Angola|Angola|-14.106|-14.106|21.450|21.450
GGD|GGD|YGDS|YGDS|Gregory Downs|Gregory Downs|Gregory Downs|Gregory Downs|Australia|Australia|-18.629|-18.629|139.234|139.234
GGE|GGE|KGGE|KGGE|Georgetown|Georgetown|Georgetown|Georgetown|United States|United States|33.311402|33.311402|-79.320314|-79.320314
GGG|GGG|KGGG|KGGG|Kilgore|Kilgore|Kilgore|Kilgore|United States|United States|32.384014|32.384014|-94.711487|-94.711487
GGL|GGL|||Gilgal|Gilgal|Gilgal|Gilgal|Colombia|Colombia|8.333|8.333|-77.083|-77.083
GGN|GGN|DIGA|DIGA|Gagnoa|Gagnoa|Gagnoa|Gagnoa|Cote D&#039;Ivoire|Cote D&#039;Ivoire|6.103333|6.103333|-5.986944|-5.986944
GGO|GGO|DIGL|DIGL|Guiglo|Guiglo|Guiglo|Guiglo|Cote D&#039;Ivoire|Cote D&#039;Ivoire|6.524992|6.524992|-7.478611|-7.478611
GGR|GGR|HCMG|HCMG|Garoe|Garoe|Garoe|Garoe|Ethiopia|Ethiopia|8.400|8.400|48.483|48.483
GGS|GGS|SAWR|SAWR|Gobernador Gregores|Gobernador Gregores|Gobernador Gregores|Gobernador Gregores|Argentina|Argentina|-48.782778|-48.782778|-70.149167|-70.149167
GGT|GGT|MYEF|MYEF|Exuma International|Exuma International|George Town|George Town|Bahamas|Bahamas|23.562631|23.562631|-75.877958|-75.877958
GGW|GGW|KGGW|KGGW|International|International|Glasgow|Glasgow|United States|United States|48.212500|48.212500|-106.614722|-106.614722
GHA|GHA|DAUG|DAUG|Noumerate|Noumerate|Ghardaia|Ghardaia|Algeria|Algeria|32.381667|32.381667|3.799444|3.799444
GHB|GHB|MYEM|MYEM|Governors Harbour|Governors Harbour|Governors Harbour|Governors Harbour|Bahamas|Bahamas|25.284706|25.284706|-76.331011|-76.331011
GHC|GHC|MYBG|MYBG|Great Harbour|Great Harbour|Great Harbour|Great Harbour|Bahamas|Bahamas|25.738331|25.738331|-77.840114|-77.840114
GHD|GHD|||Ghimbi|Ghimbi|Ghimbi|Ghimbi|Ethiopia|Ethiopia|9.183|9.183|35.800|35.800
GHE|GHE|||Garachine|Garachine|Garachine|Garachine|Panama|Panama|8.067|8.067|-78.367|-78.367
GHF|GHF|OOGB|OOGB|Giebelstadt|Giebelstadt|Giebelstadt|Giebelstadt|Germany|Germany|49.266666666667|49.266666666667|7.5166666666667|7.5166666666667
GHK|GHK|LLAZ|LLAZ|Gush Katif|Gush Katif|Gush Katif|Gush Katif|Israel|Israel|31.083|31.083|35.300|35.300
GHM|GHM|KGHM|KGHM|Municipal|Municipal|Centerville|Centerville|United States|United States|35.837427|35.837427|-87.445375|-87.445375
GHN|GHN|ZUGH|ZUGH|Guanghan|Guanghan|Guanghan|Guanghan|China|China|30.948056|30.948056|104.329722|104.329722
GHT|GHT|HLGT|HLGT|Ghat|Ghat|Ghat|Ghat|Libya|Libya|25.145564|25.145564|10.142647|10.142647
GHU|GHU|SAAG|SAAG|Gualeguaychu|Gualeguaychu|Gualeguaychu|Gualeguaychu|Argentina|Argentina|-33.010278|-33.010278|-58.613056|-58.613056
GIB|GIB|LXGB|LXGB|North Front|North Front|Gibraltar|Gibraltar|Gibraltar|Gibraltar|36.151219|36.151219|-5.349664|-5.349664
GIC|GIC|YBOI|YBOI|Boigu Island|Boigu Island|Boigu Island|Boigu Island|Papua New Guinea|Papua New Guinea|-9.233333|-9.233333|142.218333|142.218333
GID|GID|HBBE|HBBE|Gitega|Gitega|Gitega|Gitega|Burundi|Burundi|-3.433|-3.433|29.917|29.917
GIF|GIF|KGIF|KGIF|Gilbert Field|Gilbert Field|Winter Haven|Winter Haven|United States|United States|28.062917|28.062917|-81.753306|-81.753306
GIG|GIG|SBGL|SBGL|Galeão–antonio Carlos Jobim International Airport|Galeão–antonio Carlos Jobim International Airport|Rio De Janeiro|Rio De Janeiro|Brazil|Brazil|-22.808903|-22.808903|-43.243647|-43.243647
GII|GII|GUSI|GUSI|Siguiri|Siguiri|Siguiri|Siguiri|Guinea|Guinea|11.399444|11.399444|-9.188056|-9.188056
GIL|GIL|OPGT|OPGT|Gilgit|Gilgit|Gilgit|Gilgit|Pakistan|Pakistan|35.918786|35.918786|74.333644|74.333644
GIM|GIM|||Miele Mimbale|Miele Mimbale|Miele Mimbale|Miele Mimbale|Gabon|Gabon|-0.067|-0.067|11.350|11.350
GIR|GIR|SKGI|SKGI|Girardot|Girardot|Girardot|Girardot|Colombia|Colombia|4.276244|4.276244|-74.795814|-74.795814
GIS|GIS|NZGS|NZGS|Gisborne|Gisborne|Gisborne|Gisborne|New Zealand|New Zealand|-38.663333|-38.663333|177.978333|177.978333
GIT|GIT|||Geita|Geita|Geita|Geita|Tanzania|Tanzania|-2.867|-2.867|32.167|32.167
GIU|GIU|VVDB|VVDB|Sigiriya Slaf Base|Sigiriya Slaf Base|Sigiriya|Sigiriya|Sri Lanka|Sri Lanka|7.95|7.95|80.75|80.75
GIY|GIY|FAGI|FAGI|Giyani|Giyani|Giyani|Giyani|Egypt|Egypt|-23.283889|-23.283889|30.650278|30.650278
GIZ|GIZ|OEGN|OEGN|Jazan|Jazan|Jazan|Jazan|Saudi Arabia|Saudi Arabia|16.901111|16.901111|42.585833|42.585833
GJA|GJA|MHNJ|MHNJ|Guanaja|Guanaja|Guanaja|Guanaja|Honduras|Honduras|16.445367|16.445367|-85.906611|-85.906611
GJL|GJL|DAAV|DAAV|Jijel|Jijel|Jijel|Jijel|Algeria|Algeria|36.794444|36.794444|5.873611|5.873611
GJM|GJM|SBGM|SBGM|Guajara-Mirim|Guajara-Mirim|Guajara-Mirim|Guajara-Mirim|Brazil|Brazil|-10.786375|-10.786375|-65.284791|-65.284791
GJR|GJR|BIGJ|BIGJ|Gjogur|Gjogur|Gjogur|Gjogur|Iceland|Iceland|65.995278|65.995278|-21.326944|-21.326944
GJT|GJT|KGJT|KGJT|Walker Field|Walker Field|Grand Junction|Grand Junction|United States|United States|39.122412|39.122412|-108.526735|-108.526735
GKA|GKA|AYGA|AYGA|Goroka|Goroka|Goroka|Goroka|Papua New Guinea|Papua New Guinea|-6.081689|-6.081689|145.391881|145.391881
GKE|GKE|ETNG|ETNG|Geilenkirchen|Geilenkirchen|Geilenkirchen|Geilenkirchen|Germany|Germany|50.961|50.961|6.042|6.042
GKH|GKH|VNGK|VNGK|Gorkha|Gorkha|Gorkha|Gorkha|Nepal|Nepal|28.050|28.050|84.483|84.483
GKL|GKL|YGKL|YGKL|Great Keppel Island|Great Keppel Island|Great Keppel Island|Great Keppel Island|Australia|Australia|-23.186|-23.186|150.943|150.943
GKN|GKN|PAGK|PAGK|Gulkana|Gulkana|Gulkana|Gulkana|United States|United States|62.154944|62.154944|-145.454333|-145.454333
GKO|GKO|||Kongoboumba|Kongoboumba|Kongoboumba|Kongoboumba|Gabon|Gabon|-0.083|-0.083|11.467|11.467
GKT|GKT|KGKT|KGKT|Gatlinburg|Gatlinburg|Gatlinburg|Gatlinburg|United States|United States|35.857759|35.857759|-83.528705|-83.528705
GLA|GLA|EGPF|EGPF|Glasgow International|Glasgow International|Glasgow|Glasgow|United Kingdom|United Kingdom|55.871944|55.871944|-4.433056|-4.433056
GLC|GLC|HAGL|HAGL|Geladi|Geladi|Geladi|Geladi|Ethiopia|Ethiopia|6.984444|6.984444|46.421389|46.421389
GLD|GLD|KGLD|KGLD|Renner Field|Renner Field|Goodland|Goodland|United States|United States|39.370622|39.370622|-101.698992|-101.698992
GLE|GLE|KGLE|KGLE|Municipal|Municipal|Gainesville|Gainesville|France|France|33.652194|33.652194|-97.197278|-97.197278
GLF|GLF|MRGF|MRGF|Golfito|Golfito|Golfito|Golfito|Costa Rica|Costa Rica|8.653775|8.653775|-83.180544|-83.180544
