0|iata_code|1|icao_code|2|name_eng|3|city_eng|4|country_eng|5|latitude|6|longitude
ABR|ABR|KABR|KABR|Municipal|Municipal|Aberdeen|Aberdeen|United States|United States|45.449056|45.449056|-98.421833|-98.421833
ABS|ABS|HEBL|HEBL|Abu Simbel|Abu Simbel|Abu Simbel|Abu Simbel|Egypt|Egypt|22.375953|22.375953|31.611722|31.611722
ABT|ABT|OEBA|OEBA|Al-Aqiq|Al-Aqiq|Al-Baha|Al-Baha|Saudi Arabia|Saudi Arabia|20.296139|20.296139|41.634277|41.634277
ABU|ABU|WATA|WATA|Atambua|Atambua|Atambua|Atambua|Indonesia|Indonesia|-9.074444|-9.074444|124.904444|124.904444
ABV|ABV|DNAA|DNAA|Nnamdi Azikiwe International Airport|Nnamdi Azikiwe International Airport|Abuja|Abuja|Nigeria|Nigeria|9.006792|9.006792|7.263172|7.263172
ABW|ABW|||Abau|Abau|Abau|Abau|Papua New Guinea|Papua New Guinea|-10.200|-10.200|148.733|148.733
ABX|ABX|YMAY|YMAY|Albury|Albury|Albury|Albury|Australia|Australia|-36.067778|-36.067778|146.958056|146.958056
ABY|ABY|KABY|KABY|Dougherty County|Dougherty County|Albany|Albany|United States|United States|31.535515|31.535515|-84.194473|-84.194473
ABZ|ABZ|EGPD|EGPD|Dyce|Dyce|Aberdeen|Aberdeen|United Kingdom|United Kingdom|57.201944|57.201944|-2.197778|-2.197778
ACB|ACB|KACB|KACB|Antrim County|Antrim County|Bellaire|Bellaire|United States|United States|44.988576|44.988576|-85.198355|-85.198355
ACC|ACC|DGAA|DGAA|Kotoka|Kotoka|Accra|Accra|Ghana|Ghana|5.605186|5.605186|-0.166786|-0.166786
ACD|ACD|SKAD|SKAD|Acandi|Acandi|Acandi|Acandi|Colombia|Colombia|8.500|8.500|-73.633|-73.633
ACE|ACE|GCRR|GCRR|Lanzarote|Lanzarote|Arrecife|Arrecife|Spain|Spain|28.945464|28.945464|-13.605225|-13.605225
ACH|ACH|LSZR|LSZR|Altenrhein|Altenrhein|Altenrhein|Altenrhein|Switzerland|Switzerland|47.485033|47.485033|9.560775|9.560775
ACI|ACI|EGJA|EGJA|The Blaye|The Blaye|Alderney|Alderney|United Kingdom|United Kingdom|49.706111|49.706111|-2.214722|-2.214722
ACJ|ACJ|KACJ|KACJ|Anuradhapura|Anuradhapura|Anuradhapura|Anuradhapura|Sri Lanka|Sri Lanka|32.110799|32.110799|-84.188848|-84.188848
