Id,IncomingTrackId,RichTrackId,TrackLength,NumberOfPoints,TotalDistance,mean_acc_z_small,mean_gyro_z_small,std_acc_z_small,std_gyro_z_small,mean_acc,mean_gyro,std_acc,std_gyro,Isbicycle,a_m23_m20,a_m20_m17,a_m17_m14,a_m14_m11,a_m11_m8,a_m8_m5,a_m5_m2,a_m2_1,a_1_4,a_4_7,a_7_10,a_10_13,a_13_16,a_16_19,a_19_22,a_22_25,acc_mean,acc_median,acc_neg_mean,acc_neg_median,acc_neg_std,acc_pos_mean,acc_pos_median,acc_pos_std,acc_std,mv_d_10_100,mv_d_100_250,mv_d_250_500,mv_d_500_1000,mv_d_1000_1500,mv_d_1500_2033,mv_d_2033_3033,mv_d_3033_4033,mv_d_4033_10000,mv_d_10000_20000,mv_d_20000_30000,mv_d_30000_60000,mv_d_60000_180000,nstops,pedestrian_dist,rel_move_len_median,rel_move_len_std,rel_stand_time,rel_stand_time_median,rel_stand_time_std,speed_max,speed_mean,speed_median,speed_std,st_t_5_10,st_t_10_25,st_t_25_40,st_t_40_60,st_t_60_90,st_t_90_120,st_t_120_180,st_t_180_600,total_dist,total_secs,v_0_5,v_5_10,v_10_15,v_15_20,v_20_25,v_25_30,v_30_35,v_35_40,v_40_45,v_45_50,v_50_55,v_55_60,v_60_65,v_65_70,v_70_75,v_75_80,v_80_85,v_85_100,v_100_130,v_130_160,v_160_300,day2,height_max2,height_mean2,height_median2,height_min2,height_std2,hour2,minute2,rel_overspeed_max2,rel_overspeed_mean2,rel_overspeed_median2,rel_overspeed_std2,rel_urban2,weekday2,IsTaxi,IsMotocycle
617714,4209480,1834805,1,0,2.505694742,0,0,0,0,0,0,0,0,False,0,0,0,0,0.001089325,0,0.013071895,0.293028322,0.023965142,0.001089325,0.001089325,0,0,0,0,0,-0.070598023,0,2.620178405,0.785155,9.772501363,2.747601787,0.650004,10.3529615,7.483897091,0,0,0,0,0,0,0,0.001,0,0,0,0,0,1,4.788082702,1,0,0.027559055,0.027559055,0,68.00909,36.3474025,39.92087935,24.32747746,0.2,0,0,0,0,0,0,0,3129.693086,259,0.00859375,0.0078125,0.0046875,0.01328125,0.00390625,0.00546875,0.0109375,0.0265625,0.0140625,0.01328125,0.00625,0.021875,0.0359375,0.02734375,0,0,0,0,0,0,0,27,20421,3139.146341,0,-15712,6394.938426,22,14,1.2574072,1.189946637,1.214288667,0.071225011,1,3,0,False
617715,4209482,1834806,18,5,108.9423682,0,0,0,0,0,0,0,0,False,0,0,0,0,0,0.004651163,0.031007752,0.23255814,0.048062016,0.013953488,0.003100775,0,0,0,0,0,-0.047978836,0,1.514522493,1.0260016,1.404400137,1.53522054,0.923999667,1.672261285,1.991054543,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,13.38999976,1,0,0,0,0,61.2720032,25.57456695,25.776,20.37177331,0,0,0,0,0,0,0,0,3098.709924,698,0.041052632,0.008421053,0.008421053,0.021052632,0.006315789,0.006315789,0.011578947,0.018947368,0.025263158,0.021052632,0.023157895,0.006315789,0.002105263,0,0,0,0,0,0,0,0,27,82000,18390.2439,0,0,29549.3618,22,52,1,1,1,0,1,3,0,False
617716,4209483,1834807,14,0,127.3132676,0.941824627,-0.005210883,0.067975847,0.041661907,0.949765339,-0.007374666,0.07883541,0.037166829,False,0,0,0,0,0.000178158,0.002137894,0.011045787,0.288793871,0.026367361,0.003741315,0.000712631,0.000178158,0,0,0.000178158,0,0.021185715,0,1.955926214,1.1864701,4.767829014,1.776923222,1.2664795,2.035231961,2.145240342,0,0,0,0,0,0,0,0,0,0.0001,0,0,0,3,68.83637719,1,0,0.076870748,0.027210884,0.013101004,79.32822,20.90706592,3.583880305,24.51048873,0,0.022222222,0,0.016666667,0.011111111,0,0,0,10871.99982,1796,0.077226377,0.005030591,0.005030591,0.007205982,0.00774983,0.007613868,0.011012916,0.011012916,0.010740993,0.008021754,0.009653297,0.013596193,0.01481985,0.007477906,0.001767505,0.002039429,0,0,0,0,0,27,23530,2489.865672,0,-12410,5171.494707,22,36,1.5663328,1.262147147,1.25428627,0.157406954,0.995024876,3,0,False
617717,4209486,1834808,20,3,7.908105189,0,0,0,0,0,0,0,0,False,0,0,0,0,0.000646496,0.005301267,0.028704422,0.212050685,0.084044479,0.002585984,0,0,0,0,0,0,-0.007161727,0.124149825,1.42223977,0.9561482,1.471925791,1.163947969,0.96078015,0.924064353,1.751303475,0,0,0,0,0,0,0,0,0,0,0,3.33E-05,0,1,13.26439178,1,0,0.017699115,0.017699115,0,66.3336945,35.83048342,35.91947745,12.42562752,0,0,0,0,0,0.033333333,0,0,51645.59091,5467,0.001331245,0.001722788,0.006029757,0.010493344,0.014565388,0.02458888,0.032419734,0.037353171,0.023962412,0.018637431,0.015896633,0.010884886,0.001722788,0.000391543,0,0,0,0,0,0,0,27,620100,99079.22222,0,0,186663.2546,21,34,2.167145333,1.378351969,1.315691757,0.272756428,1,3,0,False
617718,4209490,1834809,132,7,46.56763752,0,-0.002182707,0,0.026188234,0,-0.002182707,0,0.026188234,False,0,0.000509684,0,0,0.00254842,0.006625892,0.032619776,0.22579001,0.0509684,0.011213048,0.001019368,0.002038736,0,0,0,0,-0.042810669,0,2.119540858,1.431,2.233002845,2.117395222,1.368,2.191939525,2.474044319,0,0,0,0,0,0,0,0,0,0.0001,0,0,0,0,26.37,1,0,0,0,0,113.004,32.14799993,19.476,36.09612881,0,0,0,0,0,0,0,0,12414.43998,1378,0.05681382,0.003454894,0.007677543,0.00806142,0.010364683,0.008445298,0.009980806,0.00806142,0.00537428,0.007293666,0.004990403,0.003454894,0.006909789,0.006142035,0.006909789,0.00806142,0.004606526,0.006397953,0.002367242,0,0,27,0,-6444.168734,0,-26000,9873.831092,22,44,1.1694375,1.076958433,1.067624927,0.050730981,1,3,0,False
617719,4209496,1834811,21,20,215.2187285,0.961398128,0.011709127,0.107419485,0.025438358,0.926826013,0.011719579,0.129606449,0.023751492,False,0,0,0,0,0,0.000199601,0.008183633,0.299201597,0.025149701,0.000598802,0,0,0,0,0,0,0.00686706,0,0.957453271,0.684001,0.930825285,0.782936344,0.62999855,0.687667541,0.819924295,0,0,0,0,0,0,0,0,0,0.0001,0,0,0,1,110.1276631,1,0,0.015706806,0.015706806,0,65.988,25.46896052,24.335999,23.25218832,0,0.066666667,0,0,0,0,0,0,11814.15339,1566,0.053061224,0.005247813,0.004227405,0.007725948,0.008892128,0.009037901,0.012973761,0.012099125,0.010349854,0.019241983,0.025218659,0.024052478,0.005830904,0.002040816,0,0,0,0,0,0,0,27,42859,6698.447183,0,0,11196.2088,22,44,1.0272,1.0272,1.0272,0,0.963028169,3,0,False
617720,4209503,1834812,15,0,152.8514965,0.96970935,-0.006890486,0.053143734,0.032611064,0.95977338,-0.007357133,0.073650736,0.02957637,False,0,7.37E-05,0.000147427,0.000221141,0.000884564,0.002137697,0.014595312,0.266548725,0.045112782,0.003022262,0.000368568,0.000221141,0,0,0,0,0.043692321,0,1.48851474,0.864004,2.013881186,1.274295977,0.9000023,1.567107465,1.661981127,0,0,0,0,0,0,0,0,0,0,0,3.33E-05,0,9,193.1379201,1,0,0.024993992,0.002643595,0.001057384,129.564,42.34139429,28.5479984,38.72536178,0.066666667,0.044444444,0,0,0,0,0,0,53213.13001,4506,0.021912542,0.017059106,0.016722729,0.017155214,0.013262854,0.006823642,0.009226333,0.007256127,0.007111965,0.006871696,0.005478136,0.005478136,0.004661221,0.004661221,0.004997597,0.002931283,0.003411821,0.004837418,0.005077687,0,0,27,286545,107060.6991,0,0,115976.423,21,46,1.3225,1.118339354,1.113958763,0.069656808,1,3,0,False
617721,4209505,1834813,2,0,25.99419439,0.962053404,-0.016905032,0.078985659,0.035308753,0.74434497,-0.006098139,0.395100075,0.038123545,False,0,0,0,0,0.00022477,0.000899078,0.012137559,0.278939087,0.036187907,0.003596314,0.001123848,0.00022477,0,0,0,0,0.060181754,0,1.23264765,0.97199,1.162524582,1.557344613,1.1159997,1.575413445,1.360805334,0,0,0,0,0,0,0,0,0,0.0001,0,0,0,3,37.92253997,1,0,0.032284768,0.010761589,0.002027723,93.492,30.63488266,24.66,28.87547764,0,0.066666667,0,0,0,0,0,0,12766.30409,1495,0.033164983,0.006902357,0.007912458,0.012962963,0.015319865,0.012626263,0.017003367,0.010942761,0.004713805,0.003535354,0.005387205,0.012121212,0.009427609,0.012121212,0.011447811,0.010942761,0.008080808,0.001795735,0,0,0,27,32938,4314.206271,0,0,8232.34868,22,50,1.78272,1.214694748,1.149428571,0.21618809,1,3,0,False
617722,4209506,1834814,100,4,38.16580688,0,0,0,0,0,0,0,0,False,0,0,0,0,0,0.000687853,0.014032191,0.273765305,0.044160132,0.000412712,0.000275141,0,0,0,0,0,-0.018722187,0.012,0.888139794,0.6359987,0.882050128,0.764343953,0.594,0.709345813,1.118962113,0.003703704,0,0,0,0,0,0,0,0,6.67E-05,0,0,0,5,37.15999901,0.223609364,0.109460551,0.025945145,0.002965159,0.004056827,84.924,52.63349959,58.212,18.21751485,0.08,0.013333333,0,0.01,0.006666667,0,0,0,80154.73054,5682,0.003703704,0.001119724,0.000516796,0.001894918,0.003789836,0.005426357,0.006804479,0.004392765,0.006287683,0.011455642,0.024203273,0.041515935,0.052971576,0.023428079,0.005081826,0.003875969,0.003531438,0,0,0,0,27,46000,1645.522388,0,-44000,7419.989798,21,44,1.192799887,1.095999966,1.067999903,0.06000862,1,3,0,False
617723,4209507,1834815,122,11,43.72555174,0,-0.001104014,0,0.01576305,0,-0.001096317,0,0.015718855,False,0,0,0,0,0,0.005434783,0.02173913,0.257699275,0.038949275,0.008605072,0.000905797,0,0,0,0,0,-0.019892941,0,1.636519987,1.134,1.541873388,1.566799967,1.026000525,1.599583534,1.694040726,0,0,0,0,0,0,0,0,0.000167588,0,0,0,0,0,24.6610401,1,0,0,0,0,65.412,12.94136412,1.025999955,16.94128163,0,0,0,0,0,0,0,0,5308.697926,1532,0.095238095,0.007224959,0.011165846,0.011494253,0.011165846,0.013136289,0.016091954,0.011494253,0.010180624,0.003284072,0.005254516,0.001970443,0.001970443,0.000328407,0,0,0,0,0,0,0,27,111000,36017.48252,0,0,45806.48382,22,47,1,1,1,0,0,3,0,False
