Id,IncomingTrackId,RichTrackId,TrackLength,NumberOfPoints,TotalDistance,mean_acc_z_small,mean_gyro_z_small,std_acc_z_small,std_gyro_z_small,mean_acc,mean_gyro,std_acc,std_gyro,Isbicycle,a_m23_m20,a_m20_m17,a_m17_m14,a_m14_m11,a_m11_m8,a_m8_m5,a_m5_m2,a_m2_1,a_1_4,a_4_7,a_7_10,a_10_13,a_13_16,a_16_19,a_19_22,a_22_25,acc_mean,acc_median,acc_neg_mean,acc_neg_median,acc_neg_std,acc_pos_mean,acc_pos_median,acc_pos_std,acc_std,mv_d_10_100,mv_d_100_250,mv_d_250_500,mv_d_500_1000,mv_d_1000_1500,mv_d_1500_2033,mv_d_2033_3033,mv_d_3033_4033,mv_d_4033_10000,mv_d_10000_20000,mv_d_20000_30000,mv_d_30000_60000,mv_d_60000_180000,nstops,pedestrian_dist,rel_move_len_median,rel_move_len_std,rel_stand_time,rel_stand_time_median,rel_stand_time_std,speed_max,speed_mean,speed_median,speed_std,st_t_5_10,st_t_10_25,st_t_25_40,st_t_40_60,st_t_60_90,st_t_90_120,st_t_120_180,st_t_180_600,total_dist,total_secs,v_0_5,v_5_10,v_10_15,v_15_20,v_20_25,v_25_30,v_30_35,v_35_40,v_40_45,v_45_50,v_50_55,v_55_60,v_60_65,v_65_70,v_70_75,v_75_80,v_80_85,v_85_100,v_100_130,v_130_160,v_160_300,day2,height_max2,height_mean2,height_median2,height_min2,height_std2,hour2,minute2,rel_overspeed_max2,rel_overspeed_mean2,rel_overspeed_median2,rel_overspeed_std2,rel_urban2,weekday2,IsTaxi,IsMotocycle
102292,3693444,1632562,9,0,100.990842,0,0,0,0,0,0,0,0,False,0,0,0,0,0.000665336,0.001330672,0.007318696,0.315369261,0.00665336,0.001330672,0.000665336,0,0,0,0,0,-0.053084902,0,2.255310348,1.836,1.916193842,1.312699548,0.6480051,1.816849303,0.926192614,0,0,0,0,0.002,0,0,0,0,0,0,0,0,1,50.90871965,1,0,0.066037736,0.066037736,0,79.596,8.284598638,0.648,19.80845403,0,0.066666667,0,0,0,0,0,0,1161.872544,288,0.11840796,0.016915423,0.006965174,0.000995025,0.000995025,0,0.000995025,0.00199005,0.002985075,0.00199005,0.002985075,0.010945274,0.006965174,0.004975124,0.018905473,0.002985075,0,0,0,0,0,18,14132,6105.650602,9748,0,5940.073784,12,18,1,1,1,0,0,5,0,True
102394,3693797,1632660,5,0,68.76199355,0.868296676,0,0.117452685,0,0.880759487,-0.0194923,0.092394777,0.052248491,False,0.000514007,0.000257003,0,0.000514007,0.00154202,0.004369057,0.023387304,0.251606271,0.035466461,0.00925212,0.003341043,0.002056027,0.00077101,0.000257003,0,0,0.13553729,0,2.245340851,1.574996,2.80754018,2.852196082,1.728,4.03761165,2.943368549,0,0,0,0,0,0,0,0,0.000167588,0,0,0,0,0,92.86774,1,0,0.966895357,0,0,128.375992,27.17761425,28.116,24.82605753,0,0,0,0,0,0,0,0,9798.630331,30199,0.028456914,0.01002004,0.007014028,0.007815631,0.007815631,0.016032064,0.021042084,0.021442886,0.015631263,0.016833667,0.014829659,0.014629259,0.004609218,0.002805611,0.001002004,0.001202405,0.00260521,0.001135605,0.000467602,0,0,18,27779,4614.405959,0,0,7146.430436,12,30,1,1,1,0,0,5,0,True
102452,3693932,1632720,7,0,67.7676056,0,0,0,0,0.919562433,-0.00588182,0.198137117,0.049034431,False,0,0,0,0,0,0,0.001302083,0.322265625,0.007161458,0.002604167,0,0,0,0,0,0,0.170187009,0,0.617686791,0.203142885,0.872072179,2.793670059,0.8639977,8.132616045,2.289524491,0,0,0,0.002,0,0,0,0,0,0,0,0,0,1,70.03162948,1,0,0.129032258,0.129032258,0,50.472,6.205894616,0.9,12.18144655,0,0,0.066666667,0,0,0,0,0,892.2031415,454,0.063157895,0.042105263,0.010526316,0.009356725,0.008187135,0.012865497,0.007017544,0.01871345,0.019883041,0.005847953,0.002339181,0,0,0,0,0,0,0,0,0,0,18,60421,12690.12222,0,0,23076.67699,12,52,1,1,1,0,0,5,0,True
102465,3693954,1632732,3,0,37.00395553,0,0,0,0,0.62264772,0.000881746,0.476583312,0.042837757,False,0,0,0,0.000217723,0.000435445,0.001524058,0.010886131,0.298279991,0.015893751,0.005225343,0.00087089,0,0,0,0,0,0.001701233,0,1.725054058,1.2780018,1.712963576,1.995651336,1.4040032,1.980331943,1.272002098,0,0,0,0,0,0,0,0,0,0,0,0,0,3,26.12206032,0,0,0.123496391,0.014434643,0.040671275,77.148,12.49282276,1.8,18.77616818,0,0.044444444,0,0,0,0,0.005555556,0,5459.242831,1265,0.107879773,0.01770918,0.004549147,0.00357433,0.005361495,0.007961007,0.010073111,0.012997563,0.007473599,0.004386677,0.006011373,0.005848903,0.003086921,0.001787165,0.001137287,0.00016247,0,0,0,0,0,18,36682,6212.910494,0,0,9764.649349,12,37,1,1,1,0,0,5,0,True
102552,3694304,1632818,2,0,22.73262185,0.925394964,0.009068648,0.086795156,0.051993666,0.834627198,0.00799939,0.337503853,0.046173197,False,0,0,0,0,0.000197122,0.002168342,0.01754386,0.262566529,0.045535186,0.003745318,0.000788488,0.000788488,0,0,0,0,0.076461333,0,1.329316852,0.95399965,1.279461917,1.410395338,0.972,1.591670782,1.530347907,0,0,0,0,0,0,0,0,0,0.0001,0,0,0,1,50.65011992,1,0,0.02875629,0.02875629,0,73.872,33.66029729,41.724,22.85167552,0,0,0,0.05,0,0,0,0,15810.52146,1529,0.021710999,0.002588066,0.00301941,0.004457225,0.005032351,0.006326384,0.009345794,0.017253774,0.02674335,0.035370237,0.026887132,0.020848311,0.009633357,0.008339324,0.002444285,0,0,0,0,0,0,18,68241,8486.997622,0,0,15954.35619,12,53,1,1,1,0,0,5,0,True
102582,3694394,1632845,51,15,400.2834816,0,0.001984751,0,0.039449944,0,0.00174028,0,0.039569364,False,0,0.000366703,0.000366703,0.00110011,0.00220022,0.0110011,0.03740374,0.206820682,0.054272094,0.012834617,0.004767143,0.000733407,0.00110011,0.000366703,0,0,-0.022557515,0,2.34339591,1.578,2.527577598,2.163259336,1.206,2.530039653,2.977508526,0,0,0,0.002,0,0,0,0,0,0,0,0,0,1,315.7277323,0.057680659,0,0.005975014,0.005975014,0,94.68,33.29904944,28.188,31.43448294,0,0.066666667,0,0,0,0,0,0,17191.035,2129,0.065654206,0.008411215,0.004439252,0.004906542,0.005140187,0.007009346,0.007943925,0.004439252,0.008878505,0.010280374,0.00771028,0.005841121,0.006775701,0.009813084,0.009579439,0.015654206,0.012149533,0.001791277,0,0,0,18,79000,13237.66234,0,0,22474.61794,12,54,1,1,1,0,0,5,0,True
102724,3694767,1632992,9,0,100.315088,0,0,0,0,0.785595358,-0.006373243,0.406845149,0.042888399,False,0,0,0,0,0,0.001303781,0.00956106,0.302911777,0.01781834,0.000434594,0.000434594,0,0.000869187,0,0,0,0.026204428,0,1.321064523,0.899998,1.429836425,1.010041536,0.61200415,1.887800274,1.183758191,0,0,0,0,0,0,0,0.001,0,0,0,0,0,1,88.71476015,1,0,0.0486618,0.0486618,0,59.436,18.25063845,3.492,21.3206644,0,0.066666667,0,0,0,0,0,0,3889.24049,759,0.050963597,0.007708779,0.008137045,0.004282655,0.005995717,0.008137045,0.017558887,0.013704497,0.022269807,0.019271949,0.023982869,0.017987152,0,0,0,0,0,0,0,0,0,18,65510,15739.49049,0,0,24302.6542,13,58,1,1,1,0,0,5,0,True
102766,3694864,1633034,3,0,32.41930225,0,0,0,0,0.944265019,0.001620226,0.130429508,0.014539085,False,0,0,0,0,0,0,0.001594896,0.326953748,0.004784689,0,0,0,0,0,0,0,0.001017377,0,1.201941615,0.7560023,1.168393432,1.09780374,0.73799875,1.226238136,0.480720153,0,0,0.004,0,0,0,0,0,0,0,0,0,0,1,53.85318963,1,0,0.583333333,0.583333333,0,45.936,4.536344404,0,10.79991314,0,0,0,0,0,0.033333333,0,0,526.6554216,232,0.041025641,0.015384615,0.028205128,0.015384615,0.020512821,0.012820513,0.007692308,0.012820513,0.033333333,0.012820513,0,0,0,0,0,0,0,0,0,0,0,18,35171,10711.64516,0,0,14558.74194,14,14,1,1,1,0,0,5,0,True
102987,3695415,1633257,20,0,219.0432441,0.921342384,0.007177541,0.16844754,0.044585829,0.907124703,0.010644666,0.157327678,0.032858011,False,0,0,0,0,0,0.000456621,0.007458143,0.303196347,0.021765601,0.000304414,0,0,0,0,0,0.000152207,0.022495998,0,1.110551134,0.7920001,1.107247457,0.957921304,0.756,1.321262426,0.886255604,0,0,0,0,0,0,0,0,0,0,0,0,0,7,185.5293995,0,0,0.058823529,0.004782401,0.007539385,56.4839973,15.4767942,4.356,17.75947162,0.085714286,0.028571429,0,0.007142857,0,0,0,0,9659.905139,2391,0.094814815,0.00984127,0.006137566,0.004444444,0.005608466,0.009100529,0.016402116,0.020529101,0.02031746,0.007407407,0.003597884,0.001798942,0,0,0,0,0,0,0,0,0,18,80207,10776.46368,0,0,16785.65104,14,42,1,1,1,0,0,5,0,True
103700,3698946,1633968,42,0,445.1284258,0.929090759,-0.002616929,0.126733129,0.034257535,0.87137181,-0.004394131,0.318400136,0.034726254,False,0,0,0,0,9.86E-05,0.001774098,0.012911492,0.283067219,0.03321506,0.00197122,0,9.86E-05,9.86E-05,9.86E-05,0,0,0.051187073,0,1.065929659,0.5760002,1.302663027,1.114871174,0.647999,3.205581706,2.024100574,0,0,0,0,0,0,0,0,0,0.0001,0,0,0,3,152.1227399,0.355431867,0,0.031109686,0.010904426,0.002000031,95.472,39.81448964,42.192,34.88644544,0,0.022222222,0.044444444,0,0,0,0,0,37889.09987,3401,0.053908531,0.006422316,0.003957185,0.004086928,0.003503081,0.003827441,0.004541031,0.005708725,0.012131041,0.013104119,0.01485566,0.009730782,0.009017191,0.002724619,0.001751541,0.000713591,0.000973078,0.016347713,0,0,0,18,101757,8061.54186,0,-1099,18682.72491,20,12,1,1,1,0,0,5,0,True
